 ,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,N1O3,N1O4,N1O5,N1O6,N1O7,N1O8,N1O9,N1O10,N1O11,N1O12,N1O13,N1O14,O3S1,O4S1,O5S1,O6S1,O7S1,O8S1,O9S1,O10S1,O11S1,O12S1
dbe1,433559775,198452415,281778680,546578655,592375048,1227050949,148201649,275909244,329401928,49178165,66545051,121961804,5408342,5710554,5710554,4329872,24734160,142555617,272950882,118056784,39861231,22896752,0,0,8884971,0,0,49339062,39128957,202451917,545804180,1181972146,76821892,237976630,55246831,5872643,8884971
dbe2,155263273,191579439,1246285811,3952481050,1318684608,428998455,196197534,159507777,60924778,117596037,8423413,27610653,11531292,15323374,7216037,86595806,50285834,563704795,182312999,68650152,12899098,4478094,2569534,74514714,0,0,0,21772197,85545254,266064406,298663259,245900392,121306130,70656236,17800491,78623275,0
dbe3,38070682,45134970,768158289,2162116510,1112918920,435927572,161602903,86729792,35746022,19361862,38344275,5280413,5183100,0,0,2254899,31335770,132882529,94800853,42219228,22995588,19858390,3996793,6448756,16410533,0,0,2047928,61941065,104911333,135598669,76854920,48963952,46478954,12543294,6448756,31099423
dbe4,98969287,2308590023,493528272,585222330,774904047,588515144,263167105,169899927,50469607,31164707,10473264,0,3352770,0,0,7723678,14533582,49178830,51339380,232971282,28931196,11220680,10133945,0,0,0,0,2269012951,197622359,125718756,121396784,49918129,48007698,38815966,3149265,2736027,3070834
dbe5,145548927,911571242,751418741,3833976782,718702791,553999440,455480732,277229231,150352858,69476240,7386607,10986051,0,0,0,24220423,49095944,49251985,50090914,54412978,58311478,46818757,12779740,27179986,0,0,0,99527429,333397996,3383210176,291691863,82102125,87847668,55858890,31997097,7428092,4550137
dbe6,159886566,399698951,1234889378,1057637327,846458388,841421019,450656001,310925040,167964791,96625130,116549561,0,17608893,2835674,3067151,188149823,88509100,64230358,93515858,67467055,52853752,14000057,2733282,0,0,0,5871860,25868871,118059350,574956407,225792553,415096019,127420500,69382164,25638095,9088441,0
dbe7,173197108,4272697082,388349331,575015607,619623508,526789566,411510123,345683663,191934517,127092337,53043784,60258729,17570585,2638781,0,103537810,114174621,63269132,68915280,105082951,58494817,40889234,25307979,2672364,0,0,0,19627389,70664552,107956001,139074440,213888294,96124530,69987590,18011890,11633679,0
dbe8,44423176,160523209,355934173,210763930,370242641,408553208,333615947,312531808,216779448,118884367,78021851,37577810,16420528,2845675,8666413,85686477,24782899,39738139,59097305,79543549,49941101,44821413,32395885,7380078,2834627,0,0,0,38637434,28011105,48902464,95213643,62609242,50706277,14890220,5744508,2781613
dbe9,8095142,25741359,82539074,219077046,225382003,287529884,316391669,213617410,203555665,166352815,99122504,56146999,72205409,6510857,26589654,5074024,13608110,35064938,35943157,41483689,43109347,44176461,20317179,23663085,6083826,0,0,8569790,19896510,76508761,37834075,44906222,35753116,25724790,13611815,14622626,5265754
dbe10,126233949,25102744,60879637,121412076,459368120,203007846,223901412,200010384,155151353,137891501,108837036,63588014,41033451,28234796,10481136,22435243,36423065,33714284,33929718,33092715,43527839,35319530,19116955,16303774,2872430,0,0,0,9944815,5302403,318629288,49441229,45376044,17635203,14642681,9387105,3153119
dbe11,129498653,61168828,68027403,105236023,187032353,115573942,165459183,129622904,136370915,125798331,105700441,71427119,40221245,24553107,2831466,24904728,54162409,41468791,38493583,19943098,38361231,23379838,21768936,7203156,5557456,0,0,12671035,25822818,6881921,76166826,15286057,20585705,13006741,21399372,6251008,6380378
dbe12,62726905,43175798,108298037,72023980,90031094,111533996,111587364,78922534,88894485,101549520,70768713,63099345,47959252,27425227,13222647,4455344,26534519,27399947,24129297,52549324,38377200,17659423,20983084,17331045,2866252,0,0,3679471,20077587,12580332,8658457,28014745,17791833,11694047,2972729,8499979,2816664
dbe13,101959431,104873049,39562697,26927609,32139750,44682508,68685987,82304404,52561343,42177726,56310074,75552487,33671991,21623715,14956003,4113200,0,5042683,6444579,10577760,5340292,8709579,0,3076080,3651145,5858240,0,3346863,3594335,14593399,2801114,2639131,2685945,5420581,6068540,0,5244472
dbe14,50884251,8873409,43558892,73359432,23962768,13767779,25697703,56921534,32860964,92131648,41919456,20196617,33815757,16559165,8419654,0,2738847,2748595,0,2821228,0,24838930,2731334,0,6542500,0,5345308,2838703,26955915,16132565,3842386,2821228,0,5116597,0,51658084,0
dbe15,30900757,13068142,35951617,34339065,18738158,18177494,27056817,39747400,28316387,43761886,24418617,18494343,9943223,6181414,8584555,6326621,2925245,2973751,7238894,4744048,7384275,7415580,2642361,5579079,0,2585711,0,10295921,33224894,8652785,6982298,2654546,3048426,3052402,0,0,0
dbe16,70908756,16293719,6685998,13541177,63795883,102471340,27784340,32659005,39723100,32738191,13973386,9519342,6023657,6036996,0,3356274,0,0,2778866,3272540,6923224,6805087,10136994,8297065,0,0,0,3356274,0,3311568,0,36301634,0,8833235,5705549,0,0
dbe17,62535953,9135473,5553124,10157337,22613376,23507834,27913954,27317199,35376955,23703616,25082895,0,0,0,2558417,0,0,0,5802384,4772570,3854822,8406319,9101391,6667239,6095956,0,0,0,5553124,0,9370571,5372931,0,0,10585225,0,3010560
dbe18,42710444,10140993,0,13321586,10540302,12536794,26967741,31922930,35019175,36957139,12141641,3438356,5764662,2753565,0,2662901,0,0,0,2683627,5127931,11675343,5643193,6947156,0,0,0,0,0,0,10540302,3716094,0,0,6411085,6481900,3145193
dbe19,79255026,5844392,10954119,5497826,3308654,0,21128415,43479570,33853935,35417760,27554599,17187699,2986310,0,0,0,0,0,0,0,7407353,6417745,10617106,6459405,6504226,0,0,0,0,5497826,0,0,3096992,3407516,0,0,0
dbe20,0,0,0,6679228,2749951,2964760,22809955,23938004,47151981,38398832,33419987,25448350,7216230,2644914,0,0,0,2666161,2749951,0,5325068,5701971,9823192,7409715,7231750,4044892,0,0,0,0,2749951,0,6612106,0,0,0,3179953
