节点名,连接的度数
C12H12O5,9
C11H12O6,10
C10H12O7,9
C10H14O7,9
C11H12O7,10
C11H14O7,10
C9H10O7S1,9
C14H25O4N1,9
C11H12O8,10
C11H14O8,9
C19H29O6N1,9
C18H29O7N1,10
C17H27O8N1,10
C18H31O7N1,9
C16H25O9N1,10
C17H29O8N1,9
C11H12O9,9
C19H29O7N1,10
C18H27O8N1,10
C15H23O5N1,9
C19H31O7N1,10
C17H25O9N1,10
C18H29O8N1,10
C19H33O7N1,9
C16H23O10N1,10
C17H27O9N1,10
C18H31O8N1,9
C12H14O9,9
C20H29O7N1,10
C15H24O3N4,9
C18H23O9N1,10
C20H31O7N1,10
C17H21O10N1,9
C18H25O9N1,10
C20H33O7N1,9
C17H23O10N1,10
C18H27O9N1,10
C19H31O8N1,10
C16H27O5N1,9
C17H25O10N1,10
C21H25O7N1,10
C20H23O8N1,10
C20H26O7N2,10
C18H21O8N3,10
C20H29O6N3,10
C18H20O9N2,9
C19H24O8N2,10
C19H23O9N1,10
C19H27O7N3,10
C21H31O7N1,10
C18H22O9N2,10
C19H26O8N2,10
C20H29O8N1,10
C18H24O9N2,10
C17H24O8N4,9
C18H23O10N1,10
C19H27O9N1,10
C18H27O8N3,10
C20H31O8N1,10
C18H25O10N1,10
C21H25O6N3,10
C18H29O8N3,9
C20H33O8N1,9
C21H24O7N2,10
C17H23O11N1,9
C20H23O7N3,10
C18H27O10N1,10
C21H27O6N3,9
C20H22O8N2,10
C19H21O8N3,9
C21H25O8N1,10
C20H25O7N3,10
C21H29O6N3,9
C19H20O9N2,9
C20H24O8N2,10
C19H24O7N4,10
C16H20O4N4,9
C16H15O7N1,9
C20H23O9N1,10
C19H23O8N3,10
C20H27O7N3,9
C19H22O9N2,10
C20H26O8N2,10
C19H26O7N4,10
C18H21O9N3,9
C16H17O7N1,10
C20H25O9N1,10
C19H25O8N3,10
C20H29O7N3,10
C19H24O9N2,10
C19H28O7N4,10
C20H27O9N1,10
C19H27O8N3,10
C21H31O8N1,10
C19H26O9N2,10
C19H30O7N4,9
C19H25O10N1,10
C22H25O6N3,9
C20H29O9N1,10
C21H33O8N1,10
C15H24O5N4,10
C18H23O11N1,9
C21H23O7N3,9
C20H31O9N1,10
C19H31O8N3,9
C21H35O8N1,9
C22H25O8N1,9
C21H25O7N3,10
C21H24O8N2,10
C17H20O4N4,9
C17H15O7N1,9
C21H23O9N1,9
C20H23O8N3,10
C21H27O7N3,9
C20H22O9N2,10
C21H26O8N2,10
C20H26O7N4,10
C17H22O4N4,9
C21H25O9N1,10
C20H25O8N3,10
C21H29O7N3,10
C20H24O9N2,10
C20H28O7N4,10
C16H15O8N1,9
C20H27O8N3,10
C19H22O10N2,9
C20H26O9N2,10
C19H26O8N4,10
C20H30O7N4,10
C21H29O9N1,10
C20H27O10N1,10
C23H27O6N3,9
C22H35O8N1,9
C18H26O9N4,10
C19H25O11N1,9
C22H25O7N3,10
C23H29O6N3,10
C21H24O7N4,9
C22H27O7N3,10
C18H14O8,10
C22H26O8N2,10
C22H25O9N1,10
C21H25O8N3,10
C21H24O9N2,10
C20H24O8N4,9
C22H28O8N2,10
C21H28O7N4,10
C22H27O9N1,10
C21H27O8N3,10
C23H31O8N1,10
C22H31O7N3,10
C20H22O10N2,9
C21H30O7N4,9
C21H25O10N1,9
C21H29O8N3,9
C20H24O10N2,10
C19H24O9N4,9
C20H28O8N4,10
C21H27O10N1,10
C20H30O8N4,9
C19H28O9N4,10
C23H27O7N3,10
C22H25O8N3,10
C22H28O7N4,10
C22H27O8N3,10
C22H26O9N2,10
C21H26O8N4,9
C18H22O5N4,9
C22H30O7N4,9
C22H29O8N3,9
C21H24O10N2,10
C22H27O10N1,9
C21H27O9N3,9
C20H27O8N5,10
C20H26O9N4,10
C22H34O7N4,10
C22H29O10N1,9
C21H32O8N4,10
C19H28O10N4,10
C23H30O7N4,10
C22H24O10N2,10
C22H28O8N4,10
C23H32O7N4,10
C22H27O9N3,9
C22H26O10N2,10
C22H30O8N4,10
C23H34O7N4,10
C21H24O11N2,10
C20H26O10N4,9
C21H30O9N4,9
C23H28O8N4,9
C23H30O8N4,9
C24H34O7N4,9
C24H36O7N4,9
C19H23O10N1,9
C21H28O8N4,9
C22H32O7N4,9
